(Intercept),n_farm_inputs,p_dev_inputs,Precip8110Ws,Tmean8110Ws,BFIWs,MAXDEPTH,lakemorpho_fetch,UNIQUE_ID,fitted,de,.xcoord,.ycoord
4.53560843,0.003205295,1.79E-04,-0.131457371,0.091069607,-0.33695998,-0.035597364,0.092775378,NLA_MN-10062,4.218822827,0.094296476,26377.66371,2664940.345
4.53560843,0.160770982,0.001960931,-0.149413963,0.135962675,-0.260976071,-0.034608549,0.05663464,NLA_MN-10065,4.445939076,0.576309822,130634.7536,2446491.451
4.53560843,0.00423884,0.005402324,-0.234239122,0.147355743,-0.305917231,-0.021753945,0.019514933,NLA_NH-10019,4.150209972,-0.293634278,1974206.013,2522357.139
4.53560843,0.028910656,0.00392607,-0.212831671,0.320475875,-0.151553272,-0.067239466,0.053488506,NLA_OK-10060,4.510785128,-0.156019562,-65044.33873,1321856.938
4.53560843,0.050992106,5.31E-04,-0.238442724,0.316445762,-0.135680368,-0.012854604,0.022264412,NLA_OK-10109,4.538864247,0.105524654,91159.66471,1378129.797
4.53560843,0.339834212,0,-0.044223486,0.172464308,-0.286322898,-0.024720392,0.011973619,NLA_UT-10057,4.704613793,-0.078421062,-1094748.339,2060675.971
4.53560843,0.0403256,0.001669153,-0.228286426,0.268912502,-0.255472015,-0.02966447,0.009913905,NLA_VA-10013,4.343006679,0.251430072,1518861.818,1713983.541
4.53560843,0.003142252,6.67E-04,-0.264900322,0.216014272,-0.151691826,-0.079105254,0.025817081,NLA_WV-10008,4.285551215,-0.186306048,1319671.841,1862158.385
4.53560843,0.040064842,9.87E-04,-0.220249986,0.317047149,-0.067909238,-0.054384862,0.04794801,NLA_OK-10008,4.599111589,-0.045775879,-27974.05032,1385399.264
4.53560843,0.050018298,0.001055728,-0.228768889,0.318220951,-0.053825455,-0.054384862,0.042518146,NLA_OK-10101,4.610442348,0.069766884,6367.416424,1372931.879
4.53560843,0,0,-0.340274506,0.155119322,-0.381763864,-0.33619733,0.015255711,NLA_CA-10051,3.647747762,-0.046671521,-2166225.25,2327148.262
4.53560843,0.089079184,1.21E-04,-0.190799476,0.246944336,-0.106045518,-0.044496705,0.004294731,NLA_KS-10002,4.534706134,-0.332607131,1770.116307,1751521.869
4.53560843,0.067255784,3.45E-04,-0.088188256,0.096994727,-0.12488467,-0.014832235,0.008932093,NLA_ND-10047,4.481231287,0.211459004,-415480.4716,2775298.229
4.53560843,0.039801717,0.001816387,-0.303475961,0.21735216,-0.297801687,-0.341141409,0.008498147,NLA_VA-10050,3.860657785,0.055023967,1375957.88,1627529.031
4.53560843,0,0.001184103,-0.159552707,0.270414962,-0.201486484,-0.009888157,0.022543593,NLA_KS-10012,4.458823741,-0.003218629,-197563.2902,1626571.06
4.53560843,0,0,-0.244792483,0.269102219,-0.068929587,-0.030653286,0.004553075,NLA_IL-10033,4.464888369,0.176640361,671460.6794,1631989.138
4.53560843,0.107787558,0.001377395,-0.307691035,0.369156168,-0.164370553,-0.034608549,0.147738296,NLA_LA-10002,4.654997711,0.178140013,424056.9155,964759.1863
4.53560843,0.208553376,8.43E-05,-0.129679345,0.097242739,-0.286823777,-0.009888157,0.009061743,NLA_MN-10097,4.424159348,0.214689979,-902.9522284,2680656.201
4.53560843,0.001815133,6.09E-05,-0.09463,0.095774052,-0.287370421,-0.024720392,0.01462483,NLA_UT-10055,4.24116251,0.073405339,-1100868.968,2044546.711
4.53560843,0.004140759,0.004114568,-0.225796989,0.147591857,-0.259811519,-0.019776314,0.006846836,NLA_NY-10026,4.192917628,-0.196288936,1796801.72,2507314.818
4.53560843,0.070050713,4.56E-04,-0.093989522,0.070766787,-0.134106212,-0.024720392,0.015495228,NLA_ND-10102,4.439560567,0.46531517,-292769.7505,2844890.81
4.53560843,0.010388757,3.80E-04,-0.201747604,0.281827575,-0.095180546,-0.049440784,0.015347626,NLA_KS-10001,4.497183567,0.047280813,-70059.93291,1562501.975
4.53560843,0.014867618,0,-0.242534009,0.348929317,-0.271726414,-0.027686839,0.006809518,NLA_GA-10028,4.364267622,0.186471066,1119605.064,1133972.938
4.53560843,0.027665774,7.52E-04,-0.221440109,0.374708541,-0.072060928,-0.093937489,0.102555316,NLA_TX-10101,4.653851504,0.219122744,-6081.082974,968086.6165
4.53560843,0.032193225,0.003355013,-0.228211494,0.263100129,-0.238602415,-0.034608549,0.001932424,NLA_VA-10040,4.334766762,0.178105645,1520244.478,1801012.377
4.53560843,0.003370701,5.15E-05,-0.248964383,0.221763901,-0.143194274,-0.158210508,0.021880918,NLA_WV-10017,4.232306238,-0.173653709,1331143.982,1878137.007
4.53560843,7.81E-04,5.19E-05,-0.111252142,0.052552144,-0.132556897,-0.069217097,0.013823414,NLA_ND-10118,4.289791045,0.239555256,-284114.0536,2888984.802
4.53560843,0,2.70E-05,-0.328257282,0.24191113,-0.297526109,-0.077127623,0.017254474,NLA_CA-10067,4.091890052,-0.114686773,-2213591.775,2256795.744
4.53560843,0.001742937,1.90E-05,-0.074932484,0.12897051,-0.09013869,-0.019776314,0.004421035,NLA_ND-10103,4.48591438,0.281520476,-616951.099,2643259.871
4.53560843,0.001160416,0.001148012,-0.266180726,0.142333361,-0.236399209,-0.079105254,0.036684835,NLA_NH-10016,4.135249864,-0.278607217,1914746.336,2480816.221
4.53560843,0.186188542,0.002362391,-0.152252202,0.137334692,-0.276193138,-0.138434195,0.032426029,NLA_MN-10035,4.327040549,0.551901965,144420.0648,2459179.867
4.53560843,0.061588781,0.001259531,-0.312905147,0.391694885,-0.118199096,-0.020765129,0.323397161,NLA_LA-10099,4.861679417,-0.500929136,308970.0623,760948.1401
